role,chapter,stem,source_path,source_bytes,source_sha256
terminal-chapter,80,bootstrap,03_projects/language_management/romance/03_working_translations/stacks_fr_20260821/p10/work/ch080_round1/bootstrap.fr.tex,99615,3A76F963C269AE3E1D5F2AC52459FD2CEDA8C6E1E54149B715619BD3AB1688EA
terminal-chapter,81,spaces-pushouts,03_projects/language_management/romance/03_working_translations/stacks_fr_20260821/p10/work/ch081_round1/spaces-pushouts.fr.tex,161085,21BA3BD7569296231A40A3BF6885944027B757D10F997C5723D24DE2458B3242
terminal-chapter,82,spaces-chow,03_projects/language_management/romance/03_working_translations/stacks_fr_20260821/p10/work/ch082_round1/spaces-chow.fr.tex,189243,60A5F47AA0A741A8347A7A664E140AB998137A81A6977863BDBFECFAD7ABF51C
terminal-chapter,83,groupoids-quotients,03_projects/language_management/romance/03_working_translations/stacks_fr_20260821/p10/work/ch083_round1/groupoids-quotients.fr.tex,56687,F29E56D2AE6604133A0DFC514F97E7A5F448A5190B3DC9907D73A7342068D7DF
terminal-chapter,84,spaces-more-cohomology,03_projects/language_management/romance/03_working_translations/stacks_fr_20260821/p10/work/ch084_round1/spaces-more-cohomology.fr.tex,77135,B974DC8E5DFFFA54F9F1A52264354DCB416540A1FCAAEE4C31A832411E9C9944
terminal-chapter,85,spaces-simplicial,03_projects/language_management/romance/03_working_translations/stacks_fr_20260821/p10/work/ch085_round1/spaces-simplicial.fr.tex,318492,7BE8D680D64C76CC7E0E95EE68DFC8D0FB40FB56FDDE3BF03F933461F2AA8B45
terminal-chapter,86,spaces-duality,03_projects/language_management/romance/03_working_translations/stacks_fr_20260821/p10/work/ch086_round1/spaces-duality.fr.tex,86371,9C949DA7E120A764505D96AA9C55159D44F577A59EDFF2E956F0662DA407C2AD
terminal-chapter,87,formal-spaces,03_projects/language_management/romance/03_working_translations/stacks_fr_20260821/p10/work/ch087_round1/formal-spaces.fr.tex,354421,1350FC4DB6564DFA9B7F06E7C379FAB34F4D01B48D22AF9FBD522FFDB556D009
terminal-chapter,88,restricted,03_projects/language_management/romance/03_working_translations/stacks_fr_20260821/p10/work/ch088_round1/restricted.fr.tex,306017,AD3AA3A12F8B7AC9B60B7B0A60B1DF567AE0F20B9A16793FE98BFDBE6204948B
terminal-chapter,89,spaces-resolve,03_projects/language_management/romance/03_working_translations/stacks_fr_20260821/p10/work/ch089_round1/spaces-resolve.fr.tex,44370,E2A22CE11BFD6495158DA8CA182326AFBD1BCB6E72228F8A4BFA1080B5228685
terminal-chapter,90,formal-defos,03_projects/language_management/romance/03_working_translations/stacks_fr_20260821/p10/work/ch090_round1/formal-defos.fr.tex,308147,F160D9A030151D69859833CBC993ECDA0D6E274CA25418E24FB1BEF6C978CD2B
